name,survey,n_obs,baseline_d,mag_median,amplitude,period_ls,power_ls,fap_ls,sl_ls,cov_ls,has_minent,period_me,entropy_me,sl_me,cov_me,dP,dP_rel,agree,harmonic
OGLE_00,OGLE,665,2246.8068699999994,14.052,0.21499999999999986,4.717400749864963,0.9425731448928042,0.0,24.10460980589694,1.0,False,,,,,,,False,
OGLE_01,OGLE,499,2246.9436799999994,16.62,0.45009999999999906,1.8334998011186283,0.7187978466164557,6.891017063531963e-133,17.461878239156643,1.0,False,,,,,,,False,
OGLE_02,OGLE,220,3603.8854700000957,17.5,0.22435000000000116,0.10299761788030329,0.9620910986753248,1.9646659775454782e-150,16.933098850996164,1.0,True,0.10299761788029715,1.2328158631266377,16.933098846685922,1.0,6.13398221105399e-15,5.955460269171318e-14,True,≈ P_ME
OGLE_03,OGLE,110,684.1210800000008,14.8295,0.6190499999999979,0.5231835005308781,0.6855866181257877,4.849030083756291e-24,5.632695477085979,1.0,False,,,,,,,False,
OGLE_04,OGLE,268,2021.7683499999994,17.3425,0.263300000000001,0.30528424212687894,0.9299302527448091,3.3173942088990414e-149,19.832559378974356,1.0,False,,,,,,,False,
OGLE_05,OGLE,482,2246.8234199999997,18.84,0.5798499999999969,0.5316563280536287,0.6866675916230905,5.1603293039725945e-117,40.60397638457769,1.0,False,,,,,,,False,
OGLE_06,OGLE,2000,2714.7769199999993,17.628,0.259999999999998,0.2735215078353094,0.9045016715568269,0.0,132.96352531462972,1.0,False,,,,,,,False,
OGLE_07,OGLE,234,5193.848050000146,16.373,0.06869999999999976,4.634117117603212,0.16717560021448705,2.2765237794789142e-06,35.039101640004404,1.0,False,,,,,,,False,
OGLE_08,OGLE,131,3121.7625500000004,15.35,0.18900000000000006,3.466020706852097,0.3520894196519319,1.6552973926955223e-09,24.873548006941085,1.0,False,,,,,,,False,
OGLE_09,OGLE,5680,5025.563850000035,19.441,0.3150499999999994,2.026717847037515,0.07062620251362872,1.0023683162609302e-85,703.9487416570344,1.0,False,,,,,,,False,
OGLE_0a,OGLE,913,5195.837160000112,17.958,0.24079999999999657,1.825801845300914,0.12199442575191995,3.6433253500424944e-22,89.63516135799367,1.0,False,,,,,,,False,
OGLE_0b,OGLE,527,2246.94402,16.938,0.22100000000000009,1.0075555626635755,0.9085307061088775,4.6286372236973173e-268,32.9342502538777,1.0,False,,,,,,,False,
OGLE_0c,OGLE,157,1204.0578000000005,17.856,0.3338000000000001,0.2798893935794197,0.8867533785659104,1.2211908552018921e-69,11.175414858975257,1.0,False,,,,,,,False,
OGLE_0d,OGLE,731,2246.87046,15.702,0.5935000000000006,2.53858699000776,0.7781335237211828,5.635425247885477e-234,15.125468307138298,1.0,False,,,,,,,False,
